,Categ,Priority,O*NET-SOC Code,Title,Description,Total Employment,Mean Hourly Wage,25th Percentile Hourly Wage,Median Hourly Wage,75th Percentile Hourly Wage,"Employment change, numeric, 2022-32","Employment change, percent, 2022-32",sustainable_wage,sustainable_wage_ind,stable_employment
0,mfg,1.0,11-3051.00,Industrial Production Managers,"Plan, direct, or coordinate the work activities and resources necessary for manufacturing products in accordance with cost, quality, and quantity specifications.","211,710",58.13,41.03,51.71,67.03,3.6,1.6,26.69,True,True
1,mfg,1.0,11-3051.01,Quality Control Systems Managers,"Plan, direct, or coordinate quality assurance programs. Formulate quality control policies and control quality of laboratory and production efforts.","211,710",58.13,41.03,51.71,67.03,3.6,1.6,26.69,True,True
2,mfg,1.0,17-2112.00,Industrial Engineers,"Design, develop, test, and evaluate integrated systems for managing industrial production processes, including human work factors, quality control, inventory control, logistics and material flow, cost analysis, and production coordination.","321,400",47.39,37.31,46.32,56.25,38.4,11.7,21.3,True,True
3,mfg,1.0,17-2112.03,Manufacturing Engineers,"Design, integrate, or improve manufacturing systems or related processes. May work with commercial or industrial designers to refine product designs to increase producibility and decrease costs.","321,400",47.39,37.31,46.32,56.25,38.4,11.7,21.3,True,True
4,mfg,1.0,17-2141.00,Mechanical Engineers,"Perform engineering duties in planning and designing tools, engines, machines, and other mechanically functioning equipment. Oversee installation, operation, maintenance, and repair of equipment such as centralized heat, gas, water, and steam systems.","277,560",48.47,37.01,46.31,58.98,28.5,10.0,21.290000000000003,True,True
5,mfg,1.0,17-2199.05,Mechatronics Engineers,"Research, design, develop, or test automation, intelligent systems, smart devices, or industrial systems control.","150,420",53.50,38.30,50.29,65.05,5.7,3.3,25.27,True,True
6,mfg,1.0,17-2199.08,Robotics Engineers,"Research, design, develop, or test robotic applications.","150,420",53.50,38.30,50.29,65.05,5.7,3.3,25.27,True,True
7,mfg,1.0,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,"Operate, test, maintain, or adjust unmanned, automated, servomechanical, or electromechanical equipment. May operate unmanned submarines, aircraft, or other equipment to observe or record visual information at sites such as oil rigs, crop fields, buildings, or for similar infrastructure, deep ocean exploration, or hazardous waste removal. May assist engineers in testing and designing robotics equipment.","14,540",31.69,23.34,29.12,37.62,-0.4,-2.7,4.100000000000001,True,False
8,mfg,1.0,17-3024.01,Robotics Technicians,"Build, install, test, or maintain robotic equipment or related automated production systems.","14,540",31.69,23.34,29.12,37.62,-0.4,-2.7,4.100000000000001,True,False
9,mfg,1.0,17-3026.00,Industrial Engineering Technologists and Technicians,"Apply engineering theory and principles to problems of industrial layout or manufacturing production, usually under the direction of engineering staff. May perform time and motion studies on worker operations in a variety of industries for purposes such as establishing standard production rates or improving efficiency.","66,560",30.52,23.44,29.43,36.30,2.2,3.2,4.41,True,True
